SUCCESS:  Actions Class Initialised
SUCCESS:  OSCServer Class Initialised
INFO:        CPU: 0.196 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.21899999999999997 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.21899999999999997 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.469 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.312 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.289 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.19399999999999998 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.223 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.439 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.402 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.313 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.22699999999999998 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.423 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.371 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.526 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.33299999999999996 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.28300000000000003 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.195 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.204 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.509 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.281 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.327 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.45799999999999996 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.7859999999999999 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.433 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.25 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.299 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.135 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.156 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.22899999999999998 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.35100000000000003 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.45899999999999996 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.302 | RAM: 0.83 | GPU: 0.98
